;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
7668;19/20;Paulo Dybala;17.986816161322505;18.209959712636714;177.0;26;Forward;left;34.0;12.0;13.0;37.0;2077.0;0.0;2.0;1.6875;0.0;0.0;14.0;11.0;4.0;64800000.0;81000000.0
7669;18/19;Paulo Dybala;18.152801298796764;18.31532022829454;177.0;25;Forward;left;42.0;2.0;10.0;46.0;2820.0;0.0;1.0;2.085;0.0;0.0;11.0;10.0;4.0;76500000.0;90000000.0
7670;17/18;Paulo Dybala;18.410630408098864;18.31532022829454;177.0;24;Forward;left;46.0;7.0;26.0;47.0;3378.0;0.0;4.0;1.7925;0.0;1.0;12.0;8.0;0.0;99000000.0;90000000.0
7671;16/17;Paulo Dybala;17.884537312202085;17.622173047734595;177.0;23;Forward;left;48.0;8.0;19.0;49.0;3370.0;0.0;6.0;1.7774999999999999;0.0;0.0;30.0;7.0;3.0;58500000.0;45000000.0
7676;19/20;Paulo Oliveira;15.278765960220293;15.501909511534503;187.0;28;Defender;right;21.0;0.0;1.0;25.0;1771.0;1.0;0.0;1.33;0.0;1.0;0.0;2.0;6.0;4320000.0;5400000.0
7677;18/19;Paulo Oliveira;15.501909511534503;15.501909511534503;187.0;27;Defender;right;29.0;0.0;0.0;38.0;2297.0;0.0;0.0;0.625;0.0;0.0;1.0;5.0;4.0;5400000.0;5400000.0
7678;17/18;Paulo Oliveira;14.808762330974558;14.808762330974558;187.0;26;Defender;right;27.0;0.0;0.0;35.0;2305.0;1.0;0.0;0.75;0.0;0.0;2.0;1.0;4.0;2700000.0;2700000.0
7679;16/17;Paulo Oliveira;15.096444403426338;15.096444403426338;187.0;25;Defender;right;19.0;0.0;1.0;43.0;1425.0;0.0;0.0;1.7875;0.0;0.0;1.0;3.0;2.0;3600000.0;3600000.0
7680;19/20;Paulo Otávio;13.487006490992238;13.710150042306449;173.0;25;Defender;left;8.0;1.0;1.0;15.0;596.0;0.0;0.0;1.75;0.0;0.0;1.0;2.0;2.0;720000.0;900000.0
7681;18/19;Paulo Otávio;13.710150042306449;13.279367126213993;173.0;24;Defender;left;29.0;2.0;0.0;30.0;2402.0;0.0;0.0;1.3050000000000002;0.0;0.0;4.0;2.0;7.0;900000.0;585000.0
7682;17/18;Paulo Otávio;13.279367126213993;13.604789526648622;173.0;23;Defender;left;9.0;0.0;0.0;17.0;523.0;0.0;0.0;1.875;0.0;0.0;3.0;3.0;1.0;585000.0;810000.0
7683;16/17;Paulo Otávio;13.017002861746503;12.58621994565405;173.0;22;Defender;left;31.0;7.0;2.0;32.0;2550.0;1.0;0.0;2.105;0.0;0.0;8.0;1.0;3.0;450000.0;292500.0
7688;19/20;Pavel Kaderabek;16.31283972775083;16.543363386362664;182.0;28;Defender;right;25.0;3.0;3.0;28.0;2118.0;1.0;0.0;1.775;0.0;0.0;4.0;1.0;2.0;12150000.0;15300000.0
7689;18/19;Pavel Kaderabek;16.70588231586044;16.600521800202614;182.0;27;Defender;right;36.0;5.0;5.0;38.0;3140.0;0.0;0.0;1.7299999999999998;0.0;0.0;1.0;1.0;7.0;18000000.0;16200000.0
7690;17/18;Pavel Kaderabek;16.108045315104818;15.850216205802719;182.0;26;Defender;right;34.0;4.0;3.0;37.0;2631.0;0.0;0.0;0.6525000000000001;0.0;0.0;4.0;5.0;6.0;9900000.0;7650000.0
7691;16/17;Pavel Kaderabek;15.214227439082721;15.214227439082721;182.0;25;Defender;right;26.0;3.0;1.0;28.0;2197.0;0.0;0.0;2.58;0.0;1.0;3.0;1.0;3.0;4050000.0;4050000.0
7692;19/20;Pawel Dawidowicz;14.180153671552183;14.403297222866392;189.0;24;Defender;both;14.0;0.0;1.0;23.0;642.0;0.0;0.0;1.5;1.0;1.0;0.0;8.0;2.0;1440000.0;1800000.0
7693;18/19;Pawel Dawidowicz;14.403297222866392;14.180153671552183;189.0;23;Defender;both;34.0;0.0;1.0;39.0;2658.0;0.0;0.0;1.1066666666666667;0.0;0.0;2.0;6.0;7.0;1800000.0;1440000.0
7694;17/18;Pawel Dawidowicz;14.04662227892766;13.710150042306449;189.0;22;Defender;both;29.0;2.0;0.0;39.0;1873.0;0.0;0.0;1.6;1.0;0.0;4.0;6.0;3.0;1260000.0;900000.0
7695;16/17;Pawel Dawidowicz;13.487006490992238;13.710150042306449;189.0;21;Defender;both;17.0;0.0;0.0;18.0;1048.0;1.0;0.0;1.29;0.0;0.0;4.0;6.0;4.0;720000.0;900000.0
7696;19/20;Pedro Bigas;14.180153671552183;14.403297222866392;181.0;29;Defender;left;15.0;0.0;1.0;24.0;1083.0;0.0;0.0;1.965;0.0;0.0;5.0;1.0;2.0;1440000.0;1800000.0
